ZIP,Y,X
501,40.813078,-73.046388
544,40.813223,-73.049288
601,18.16595,-66.723627
602,18.383005,-67.186553
603,18.433236,-67.151954
604,18.505289,-67.135899
605,18.436149,-67.151346
606,18.185616,-66.977377
610,18.285948,-67.144161
611,18.287716,-66.797578
612,18.471326,-66.728149
613,18.472737,-66.719283
614,18.456904,-66.735892
616,18.426456,-66.673779
617,18.458792,-66.537234
622,18.017976,-67.170627
623,18.086721,-67.15178
624,18.063481,-66.723612
627,18.485866,-66.844057
631,18.180272,-66.832917
636,18.162126,-67.077928
637,18.081674,-66.968022
638,18.338774,-66.466418
641,18.268891,-66.704425
646,18.466563,-66.270521
647,17.967309,-66.939935
650,18.362641,-66.565388
652,18.466248,-66.569371
653,17.974015,-66.908699
656,18.02597,-66.787588
659,18.485446,-66.82488
660,18.140855,-67.128154
662,18.501226,-67.02279
664,18.21983,-66.591354
667,18.045169,-67.057853
669,18.294354,-66.884391
670,18.296381,-67.146608
674,18.430555,-66.484708
676,18.399405,-67.113279
677,18.343319,-67.255905
678,18.474927,-66.937286
680,18.203793,-67.145253
681,18.204311,-67.144689
682,18.20383,-67.143514
683,18.084045,-67.046282
685,18.341548,-66.99628
687,18.329095,-66.40424
688,18.430209,-66.612619
690,18.495377,-67.097688
692,18.413692,-66.31897
693,18.44194,-66.398866
694,18.444623,-66.402557
698,18.035256,-66.863322
703,18.261636,-66.103857
704,18.251151,-66.101442
705,18.142125,-66.267614
707,18.010343,-65.896868
714,17.970131,-66.064155
715,18.014885,-66.586461
716,18.01462,-66.614749
717,18.013291,-66.61449
718,18.214923,-65.732399
719,18.301571,-66.244271
720,18.229109,-66.39152
721,18.371798,-65.774509
723,18.010671,-66.015222
725,18.236227,-66.04134
726,18.23305,-66.036044
727,18.233993,-66.036446
728,18.01307,-66.614009
729,18.379881,-65.908969
730,18.01369,-66.613419
731,18.014073,-66.617175
732,18.036114,-66.611434
733,18.020753,-66.620129
734,17.986721,-66.608975
735,18.26055,-65.640326
736,18.118281,-66.161033
737,18.115422,-66.161026
738,18.332258,-65.659254
739,18.177401,-66.156056
740,18.333277,-65.632997
741,18.168687,-65.747221
742,18.238935,-65.627433
744,18.217733,-65.795607
745,18.383385,-65.838061
751,17.988778,-66.287538
754,18.188518,-65.958889
757,17.968229,-66.402656
765,18.130886,-65.453441
766,18.129578,-66.490474
767,18.051521,-65.88088
769,18.082113,-66.359958
771,18.182105,-65.869167
772,18.433938,-65.880795
773,18.375722,-65.720579
775,18.311531,-65.305548
777,18.229082,-65.918423
778,18.257108,-65.975738
780,18.046755,-66.55022
782,18.221934,-66.22722
783,18.342583,-66.311101
784,17.979829,-66.111453
785,17.9789,-66.110228
786,18.158211,-66.235998
791,18.154496,-65.820757
792,18.1513,-65.821929
794,18.187596,-66.307408
795,18.053902,-66.505295
801,18.349815,-64.943224
802,18.348771,-64.935409
803,18.35033,-64.935572
804,18.349002,-64.932125
805,18.350478,-64.935123
820,17.745943,-64.707272
821,17.746073,-64.706553
822,17.74481,-64.709745
823,17.744235,-64.708266
824,17.745183,-64.704271
830,18.335154,-64.790707
831,18.333472,-64.792955
840,17.712448,-64.882821
841,17.715086,-64.883394
850,17.730759,-64.798139
851,17.73354,-64.798875
901,18.463862,-66.109811
902,18.446284,-66.098281
906,18.405503,-66.062657
907,18.454321,-66.076621
908,18.444163,-66.079468
909,18.447257,-66.067925
910,18.442966,-66.071521
911,18.451416,-66.061581
912,18.446583,-66.061072
913,18.451003,-66.045064
914,18.448288,-66.016711
915,18.438019,-66.04736
916,18.376517,-66.162719
917,18.420562,-66.053869
918,18.417375,-66.061221
919,18.410997,-66.064914
920,18.41021,-66.087732
921,18.391717,-66.090591
922,18.409982,-66.092553
923,18.412398,-66.039106
924,18.404427,-66.012462
925,18.398869,-66.050333
926,18.379249,-66.060219
927,18.388812,-66.073302
928,18.393175,-66.061744
929,18.401987,-66.023228
930,18.405329,-66.062376
931,18.409826,-66.062956
933,18.470198,-66.107908
934,18.413161,-66.131635
935,18.410481,-66.065613
936,18.385207,-66.06312
937,18.410859,-66.063834
938,18.410608,-66.062948
939,18.408286,-66.064668
940,18.410886,-66.065084
949,18.452196,-66.178341
950,18.448748,-66.172539
951,18.443138,-66.255769
952,18.423816,-66.184972
953,18.389298,-66.248096
954,18.390022,-66.246174
955,18.409298,-66.064653
956,18.179246,-66.113423
957,18.178309,-66.11107
958,18.177224,-66.116169
959,18.178084,-66.116735
960,18.180281,-66.116276
961,18.180752,-66.112215
962,18.444331,-66.138606
963,18.446236,-66.140218
965,18.38626,-66.117485
966,18.388179,-66.114391
968,18.386834,-66.115793
969,18.386609,-66.113455
970,18.385147,-66.115683
971,18.388508,-66.115017
975,18.410442,-66.065594
976,18.363332,-66.017348
977,18.362817,-66.017273
978,18.368159,-66.011717
979,18.40482,-65.978882
981,18.406458,-65.978643
982,18.407765,-65.979421
983,18.40913,-65.9811
984,18.408896,-65.981861
985,18.409189,-65.981382
986,18.408856,-65.981189
987,18.410228,-65.97941
988,18.406651,-65.980313
1001,42.071523,-72.624257
1002,42.374216,-72.5052
1003,42.40524,-72.528427
1004,42.383945,-72.511834
1005,42.433317,-72.114488
1007,42.281915,-72.409531
1008,42.143189,-72.931858
1009,42.207963,-72.344959
1010,42.129165,-72.196131
1011,42.283726,-72.9669
1012,42.387225,-72.834041
1013,42.162301,-72.604454
1014,42.174812,-72.572286
1020,42.1756,-72.56999
1021,42.177959,-72.572836
1022,42.194752,-72.561933
1026,42.40046,-72.849579
1027,42.272337,-72.699323
1028,42.068418,-72.504285
1029,42.159812,-73.043385
1030,42.072375,-72.675163
1031,42.31217,-72.202543
1032,42.441093,-72.805942
1033,42.256411,-72.519474
1034,42.073281,-72.896559
